Decimal: 8, Binary: 1000, Hexadecimal: 8
Decimal: 34, Binary: 100010, Hexadecimal: 22
Decimal: 17, Binary: 10001, Hexadecimal: 11
Decimal: 49, Binary: 110001, Hexadecimal: 31
Decimal: 5, Binary: 101, Hexadecimal: 5
Decimal: 39, Binary: 100111, Hexadecimal: 27
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: 27, Binary: 11011, Hexadecimal: 1B
Decimal: 26, Binary: 11010, Hexadecimal: 1A
Decimal: 49, Binary: 110001, Hexadecimal: 31
Decimal: 29, Binary: 11101, Hexadecimal: 1D
Decimal: 42, Binary: 101010, Hexadecimal: 2A
Decimal: 34, Binary: 100010, Hexadecimal: 22
Decimal: 20, Binary: 10100, Hexadecimal: 14
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: 25, Binary: 11001, Hexadecimal: 19
Decimal: 45, Binary: 101101, Hexadecimal: 2D
Decimal: 3, Binary: 11, Hexadecimal: 3
Decimal: 29, Binary: 11101, Hexadecimal: 1D
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: 29, Binary: 11101, Hexadecimal: 1D
Decimal: 26, Binary: 11010, Hexadecimal: 1A
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: 45, Binary: 101101, Hexadecimal: 2D
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: 35, Binary: 100011, Hexadecimal: 23
Decimal: 26, Binary: 11010, Hexadecimal: 1A
Decimal: 14, Binary: 1110, Hexadecimal: E
Decimal: 22, Binary: 10110, Hexadecimal: 16
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: 14, Binary: 1110, Hexadecimal: E
Decimal: 37, Binary: 100101, Hexadecimal: 25
Decimal: 2, Binary: 10, Hexadecimal: 2
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: 27, Binary: 11011, Hexadecimal: 1B
Decimal: 28, Binary: 11100, Hexadecimal: 1C
Decimal: 45, Binary: 101101, Hexadecimal: 2D
Decimal: 28, Binary: 11100, Hexadecimal: 1C
Decimal: 35, Binary: 100011, Hexadecimal: 23
Decimal: 43, Binary: 101011, Hexadecimal: 2B
Decimal: 23, Binary: 10111, Hexadecimal: 17
Decimal: 49, Binary: 110001, Hexadecimal: 31
Decimal: 5, Binary: 101, Hexadecimal: 5
Decimal: 26, Binary: 11010, Hexadecimal: 1A
Decimal: 6, Binary: 110, Hexadecimal: 6
Decimal: 15, Binary: 1111, Hexadecimal: F
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: 43, Binary: 101011, Hexadecimal: 2B
Decimal: 45, Binary: 101101, Hexadecimal: 2D
Decimal: 28, Binary: 11100, Hexadecimal: 1C
Decimal: 47, Binary: 101111, Hexadecimal: 2F
Decimal: 34, Binary: 100010, Hexadecimal: 22
Decimal: 14, Binary: 1110, Hexadecimal: E
Decimal: 27, Binary: 11011, Hexadecimal: 1B
Decimal: 20, Binary: 10100, Hexadecimal: 14
Decimal: 30, Binary: 11110, Hexadecimal: 1E
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: 6, Binary: 110, Hexadecimal: 6
Decimal: 36, Binary: 100100, Hexadecimal: 24
Decimal: 9, Binary: 1001, Hexadecimal: 9
Decimal: 36, Binary: 100100, Hexadecimal: 24
Decimal: 7, Binary: 111, Hexadecimal: 7
Decimal: 5, Binary: 101, Hexadecimal: 5
Decimal: 47, Binary: 101111, Hexadecimal: 2F
Decimal: 23, Binary: 10111, Hexadecimal: 17
Decimal: 40, Binary: 101000, Hexadecimal: 28
Decimal: 14, Binary: 1110, Hexadecimal: E
Decimal: 15, Binary: 1111, Hexadecimal: F
Decimal: 1, Binary: 1, Hexadecimal: 1
Decimal: 24, Binary: 11000, Hexadecimal: 18
Decimal: 18, Binary: 10010, Hexadecimal: 12
Decimal: 15, Binary: 1111, Hexadecimal: F
Decimal: 30, Binary: 11110, Hexadecimal: 1E
Decimal: 44, Binary: 101100, Hexadecimal: 2C
Decimal: 9, Binary: 1001, Hexadecimal: 9
Decimal: 19, Binary: 10011, Hexadecimal: 13
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: 41, Binary: 101001, Hexadecimal: 29
Decimal: 43, Binary: 101011, Hexadecimal: 2B
Decimal: 48, Binary: 110000, Hexadecimal: 30
Decimal: 7, Binary: 111, Hexadecimal: 7
Decimal: 28, Binary: 11100, Hexadecimal: 1C
Decimal: 8, Binary: 1000, Hexadecimal: 8
Decimal: 37, Binary: 100101, Hexadecimal: 25
Decimal: 42, Binary: 101010, Hexadecimal: 2A
Decimal: 36, Binary: 100100, Hexadecimal: 24
Decimal: 22, Binary: 10110, Hexadecimal: 16
Decimal: 27, Binary: 11011, Hexadecimal: 1B
Decimal: 31, Binary: 11111, Hexadecimal: 1F
Decimal: 0, Binary: 0, Hexadecimal: 0
Decimal: 27, Binary: 11011, Hexadecimal: 1B
Decimal: 30, Binary: 11110, Hexadecimal: 1E
Decimal: 12, Binary: 1100, Hexadecimal: C
Decimal: 31, Binary: 11111, Hexadecimal: 1F
Decimal: 18, Binary: 10010, Hexadecimal: 12
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: 17, Binary: 10001, Hexadecimal: 11
Decimal: 25, Binary: 11001, Hexadecimal: 19
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: 33, Binary: 100001, Hexadecimal: 21
Decimal: 47, Binary: 101111, Hexadecimal: 2F
Decimal: 47, Binary: 101111, Hexadecimal: 2F
Decimal: 1, Binary: 1, Hexadecimal: 1
Decimal: 1, Binary: 1, Hexadecimal: 1
Decimal: 16, Binary: 10000, Hexadecimal: 10
Decimal: 17, Binary: 10001, Hexadecimal: 11
Decimal: 4, Binary: 100, Hexadecimal: 4
